Year,Zone,Sex,Age Group,Population,Hypertension Count,Prevalence Rate %
01/01/2009 12:00:00 AM,Eastern,F,60 to 69,10833,6618,61.09
01/01/2009 12:00:00 AM,Eastern,F,70 to 79,6790,5227,76.98
01/01/2009 12:00:00 AM,Eastern,F,80 +,5595,4750,84.9
01/01/2009 12:00:00 AM,Eastern,M,20 to 29,8424,162,1.92
01/01/2009 12:00:00 AM,Eastern,M,30 to 39,9024,735,8.14
01/01/2009 12:00:00 AM,Eastern,M,40 to 49,11819,2401,20.31
01/01/2009 12:00:00 AM,Eastern,M,50 to 59,13620,5020,36.86
01/01/2009 12:00:00 AM,Eastern,M,60 to 69,10904,6308,57.85
01/01/2009 12:00:00 AM,Eastern,M,70 to 79,5921,4311,72.81
01/01/2009 12:00:00 AM,Eastern,M,80 +,2995,2304,76.93
01/01/2009 12:00:00 AM,Northern,F,20 to 29,7827,169,2.16
01/01/2009 12:00:00 AM,Northern,F,30 to 39,9421,786,8.34
01/01/2009 12:00:00 AM,Northern,F,40 to 49,11756,2229,18.96
01/01/2009 12:00:00 AM,Northern,F,50 to 59,12253,4503,36.75
01/01/2009 12:00:00 AM,Northern,F,60 to 69,9410,5491,58.35
01/01/2009 12:00:00 AM,Northern,F,70 to 79,5786,4343,75.06
01/01/2009 12:00:00 AM,Northern,F,80 +,4981,4215,84.62
01/01/2009 12:00:00 AM,Northern,M,20 to 29,7930,175,2.21
